"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2026","121.19","121.19","121.19","121.19","5.43K","-0.16%"
"03/06/2026","121.39","121.39","121.39","121.39","0.01K","-0.28%"
"03/05/2026","121.73","122.04","122.04","122.04","0.14K","-0.74%"
"03/04/2026","122.64","122.68","122.68","122.68","1.17K","-0.12%"
"03/03/2026","122.79","122.79","122.79","122.79","0.06K","-0.11%"
"03/02/2026","122.93","123.77","124.12","123.08","3.92K","-0.65%"
"02/27/2026","123.73","123.71","123.71","123.71","2.71K","0.23%"
"02/26/2026","123.44","123.12","123.45","123.11","25.86K","0.20%"
"02/25/2026","123.19","123.23","123.32","123.04","186.87K","-0.11%"
"02/24/2026","123.32","123.27","123.39","123.16","445.21K","0.01%"
"02/23/2026","123.31","123.04","123.36","123.00","447.77K","0.28%"
"02/20/2026","122.96","122.93","123.16","122.79","208.70K","0.05%"
"02/19/2026","122.90","122.85","122.92","122.69","137.88K","-0.01%"
"02/18/2026","122.91","122.89","122.99","122.75","166.21K","0.02%"
"02/17/2026","122.89","122.79","123.08","122.63","156.82K","0.20%"
"02/13/2026","122.65","122.33","122.82","122.25","132.79K","0.27%"
"02/12/2026","122.32","121.82","122.36","121.73","147.56K","0.39%"
"02/11/2026","121.85","121.68","121.99","121.42","154.25K","0.17%"
"02/10/2026","121.64","121.35","121.71","121.32","126.58K","0.22%"
"02/09/2026","121.37","121.21","121.38","121.04","103.80K","0.08%"
"02/06/2026","121.27","121.36","121.43","120.84","154.40K","0.06%"
"02/05/2026","121.20","121.00","121.36","120.89","178.78K","0.18%"
"02/04/2026","120.98","120.88","121.10","120.78","137.64K","0.07%"
"02/03/2026","120.89","121.05","121.08","120.77","143.86K","-0.15%"
"02/02/2026","121.07","120.99","121.34","120.86","155.33K","-0.01%"
"01/30/2026","121.08","121.06","121.21","120.85","141.80K","-0.09%"
"01/29/2026","121.19","121.01","121.30","120.74","192.88K","0.12%"
"01/28/2026","121.05","121.15","121.32","120.95","126.92K","-0.10%"
"01/27/2026","121.17","121.52","121.58","121.05","166.42K","-0.31%"
"01/26/2026","121.55","121.25","121.62","121.23","146.36K","0.47%"
"01/23/2026","120.98","121.22","121.34","120.88","161.22K","-0.21%"
"01/22/2026","121.23","121.10","121.29","121.03","133.95K","0.12%"
"01/21/2026","121.09","121.07","121.23","120.81","210.07K","0.06%"
