"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2026","120.94","121.14","121.68","120.86","372.96K","0.27%"
"09/03/2026","120.61","120.23","121.37","119.28","369.30K","-0.76%"
"06/03/2026","121.53","121.67","121.71","121.43","3.70K","-0.12%"
"05/03/2026","121.68","122.64","122.65","121.53","82.44K","-0.86%"
"04/03/2026","122.73","122.52","122.86","122.03","420.32K","0.45%"
"03/03/2026","122.18","123.32","123.32","121.94","956.50K","-0.88%"
"02/03/2026","123.27","124.09","124.14","123.16","657.78K","-0.14%"
"27/02/2026","123.44","123.35","123.54","123.13","187.15K","0.23%"
"26/02/2026","123.16","123.06","123.28","123.04","46.29K","0.06%"
"25/02/2026","123.09","122.97","123.13","122.94","60.10K","0.10%"
"24/02/2026","122.97","122.93","123.02","122.89","8.03K","0.07%"
"23/02/2026","122.89","122.80","122.97","122.62","3.48K","-0.24%"
"20/02/2026","123.19","123.11","123.28","123.04","199.60K","0.12%"
"19/02/2026","123.04","123.06","123.12","122.88","238.79K","-0.06%"
"18/02/2026","123.11","123.08","123.13","122.93","190.86K","0.05%"
"17/02/2026","123.05","122.83","123.10","122.82","166.28K","0.15%"
"16/02/2026","122.87","122.75","122.99","122.73","153.57K","0.02%"
"13/02/2026","122.85","122.68","122.89","122.59","229.67K","0.23%"
"12/02/2026","122.57","122.40","122.71","122.34","269.40K","0.15%"
"11/02/2026","122.39","122.28","122.47","122.06","291.14K","0.08%"
"10/02/2026","122.29","121.96","122.31","121.92","243.68K","0.32%"
"09/02/2026","121.90","121.84","121.96","121.66","231.59K","0.07%"
"06/02/2026","121.82","121.90","122.04","121.80","269.90K","0.02%"
"05/02/2026","121.80","121.71","121.88","121.54","411.46K","0.02%"
"04/02/2026","121.77","121.65","121.85","121.61","253.19K","0.15%"
"03/02/2026","121.59","121.78","121.85","121.46","261.29K","-0.14%"
"02/02/2026","121.76","121.96","122.20","121.66","218.91K","-0.14%"
"30/01/2026","121.93","122.04","122.07","121.81","247.40K","-0.15%"
"29/01/2026","122.11","121.97","122.12","121.82","226.62K","0.15%"
"28/01/2026","121.93","121.83","122.10","121.75","205.59K","0.04%"
"27/01/2026","121.88","121.84","121.93","121.61","321.45K","-0.02%"
"26/01/2026","121.91","121.41","121.97","121.41","301.83K","0.40%"
"23/01/2026","121.42","121.14","121.56","121.10","350.93K","0.24%"
"22/01/2026","121.13","120.92","121.29","120.87","351.96K","0.17%"
"21/01/2026","120.93","121.09","121.33","120.79","286.88K","-0.04%"
"20/01/2026","120.98","121.21","121.25","120.62","393.52K","-0.24%"
"19/01/2026","121.27","121.14","121.38","121.00","275.28K","0.26%"
"16/01/2026","120.96","121.16","121.26","120.93","215.62K","-0.27%"
"15/01/2026","121.29","121.30","121.38","121.14","236.66K","0.09%"
"14/01/2026","121.18","120.98","121.32","120.92","301.45K","0.14%"
"13/01/2026","121.01","121.11","121.12","120.76","280.38K","-0.12%"
"12/01/2026","121.15","120.88","121.20","120.78","214.35K","0.14%"
"09/01/2026","120.98","120.98","121.07","120.80","238.21K","0.11%"
"08/01/2026","120.85","120.97","121.06","120.68","374.20K","-0.09%"
"07/01/2026","120.96","120.69","121.18","120.69","278.86K","0.26%"
"06/01/2026","120.65","120.44","120.80","120.12","245.00K","0.14%"
"05/01/2026","120.48","120.14","120.52","120.03","209.03K","0.30%"
"02/01/2026","120.12","120.42","120.50","120.07","151.24K","-0.39%"
"30/12/2025","120.59","120.85","120.86","120.50","101.70K","-0.24%"
"29/12/2025","120.88","120.60","120.92","120.38","84.68K","0.32%"
"23/12/2025","120.50","119.99","120.54","119.99","102.67K","0.49%"
"22/12/2025","119.91","119.82","120.17","119.71","112.36K","-0.15%"
"19/12/2025","120.09","120.48","120.48","119.89","193.26K","-0.37%"
"18/12/2025","120.54","120.45","120.70","120.11","176.15K","0.13%"
"17/12/2025","120.38","120.64","120.81","120.31","145.72K","-0.17%"
"16/12/2025","120.58","120.53","120.66","120.34","136.36K","0.03%"
"15/12/2025","120.54","120.35","120.64","120.35","127.66K","0.22%"
"12/12/2025","120.27","120.46","120.54","120.17","135.62K","-0.22%"
"11/12/2025","120.53","120.56","120.67","120.24","156.75K","0.15%"
"10/12/2025","120.35","120.47","120.56","119.98","235.94K","-0.10%"
"09/12/2025","120.47","120.35","120.59","120.08","240.66K","-0.76%"
"08/12/2025","121.39","121.63","121.63","121.43","1.71K","-0.32%"
"05/12/2025","121.78","121.83","121.94","121.63","59.12K","-0.02%"
"04/12/2025","121.81","122.14","122.15","121.75","254.95K","-0.20%"
"03/12/2025","122.06","122.12","122.25","121.99","447.84K","0.06%"
"02/12/2025","121.99","122.11","122.22","121.88","593.00K","0.65%"
"01/12/2025","121.20","121.81","121.82","121.14","171.62K","-1.34%"
"28/11/2025","122.85","122.82","122.94","122.72","236.49K","-0.02%"
"27/11/2025","122.88","122.96","123.00","122.76","157.91K","-0.05%"
"26/11/2025","122.94","122.83","123.04","122.70","225.19K","0.03%"
"25/11/2025","122.90","122.51","122.94","122.36","200.99K","0.38%"
"24/11/2025","122.44","122.31","122.52","122.25","196.27K","0.14%"
"21/11/2025","122.27","122.07","122.46","122.06","203.72K","0.09%"
"20/11/2025","122.16","122.23","122.30","121.90","318.49K","-0.11%"
"19/11/2025","122.30","122.37","122.64","122.20","201.22K","0.00%"
"18/11/2025","122.30","122.30","122.55","122.25","189.64K","-0.04%"
"17/11/2025","122.35","122.29","122.51","122.22","160.02K","-0.02%"
"14/11/2025","122.38","122.70","122.72","122.25","227.30K","-0.29%"
"13/11/2025","122.73","123.07","123.24","122.68","258.70K","-0.24%"
"12/11/2025","123.03","122.70","123.11","122.57","237.44K","0.28%"
"11/11/2025","122.69","122.42","122.74","122.38","120.96K","0.16%"
"10/11/2025","122.50","122.16","122.51","122.01","140.52K","0.19%"
"07/11/2025","122.27","122.32","122.33","122.11","181.95K","-0.09%"
"06/11/2025","122.38","122.28","122.44","122.22","297.79K","0.09%"
"05/11/2025","122.27","122.47","122.62","122.21","175.35K","-0.21%"
"04/11/2025","122.53","122.41","122.62","122.40","152.42K","0.07%"
"03/11/2025","122.45","122.61","122.67","122.36","159.99K","-0.10%"
"31/10/2025","122.57","122.74","122.77","122.47","260.47K","-0.07%"
"30/10/2025","122.65","122.48","122.75","122.43","214.05K","-0.10%"
"29/10/2025","122.77","122.71","122.82","122.43","139.46K","0.10%"
"28/10/2025","122.65","122.67","122.74","122.54","144.16K","0.03%"
"27/10/2025","122.61","122.44","122.69","122.30","150.52K","0.15%"
"24/10/2025","122.43","122.96","123.07","122.40","230.62K","-0.47%"
"23/10/2025","123.01","123.30","123.34","122.92","157.23K","-0.18%"
"22/10/2025","123.23","123.31","123.48","123.16","182.75K","-0.06%"
"21/10/2025","123.30","123.14","123.37","123.03","148.70K","0.15%"
"20/10/2025","123.12","123.00","123.16","122.74","213.16K","-0.02%"
"17/10/2025","123.15","123.58","123.72","123.09","220.37K","-0.13%"
"16/10/2025","123.31","123.30","123.60","123.08","367.53K","-0.06%"
"15/10/2025","123.38","122.85","123.42","122.79","245.80K","0.56%"
"14/10/2025","122.69","122.17","122.94","122.07","331.56K","0.49%"
"13/10/2025","122.09","122.01","122.18","121.82","179.65K","-0.03%"
"10/10/2025","122.13","121.51","122.23","121.51","242.42K","0.53%"
"09/10/2025","121.49","121.65","121.81","121.46","219.39K","-0.09%"
"08/10/2025","121.60","120.94","121.71","120.88","319.96K","0.50%"
"07/10/2025","121.00","120.94","121.10","120.78","262.20K","-0.08%"
"06/10/2025","121.10","121.48","121.49","120.61","401.18K","-0.38%"
"03/10/2025","121.56","121.53","121.64","121.43","217.91K","0.09%"
"02/10/2025","121.45","121.47","121.60","121.22","342.51K","-0.02%"
"01/10/2025","121.47","121.30","121.61","121.00","245.08K","0.10%"
"30/09/2025","121.35","121.40","121.51","121.24","227.83K","0.01%"
"29/09/2025","121.34","121.04","121.41","121.02","185.88K","0.23%"
"26/09/2025","121.06","120.80","121.22","120.65","199.71K","0.27%"
"25/09/2025","120.74","120.97","121.13","120.63","215.47K","-0.18%"
"24/09/2025","120.96","121.07","121.23","120.89","165.39K","-0.04%"
"23/09/2025","121.01","121.05","121.25","120.94","153.14K","-0.12%"
"22/09/2025","121.15","121.15","121.26","120.94","169.09K","0.06%"
"19/09/2025","121.08","121.26","121.31","121.06","148.15K","-0.26%"
"18/09/2025","121.40","121.64","121.94","121.25","270.87K","-0.31%"
"17/09/2025","121.78","121.74","122.00","121.64","210.76K","0.07%"
"16/09/2025","121.69","121.79","122.00","121.58","191.82K","-0.06%"
"15/09/2025","121.76","121.62","121.89","121.43","200.59K","0.13%"
"12/09/2025","121.60","122.16","122.16","121.49","223.47K","-0.43%"
"11/09/2025","122.13","122.06","122.42","121.82","253.72K","0.13%"
"10/09/2025","121.97","121.93","122.14","121.79","187.70K","0.09%"
"09/09/2025","121.86","121.87","122.04","121.71","275.44K","-0.57%"
"08/09/2025","122.56","122.35","122.60","122.35","18.07K","0.06%"
"05/09/2025","122.49","122.20","122.76","122.08","57.03K","0.43%"
"04/09/2025","121.96","121.52","122.19","121.44","346.41K","0.37%"
"03/09/2025","121.51","121.16","121.65","120.94","426.05K","1.20%"
"02/09/2025","120.07","120.53","120.59","119.88","436.73K","-0.37%"
"01/09/2025","120.51","120.81","120.87","120.50","136.84K","-1.15%"
"29/08/2025","121.91","122.06","122.20","121.80","244.15K","-0.18%"
"28/08/2025","122.13","121.92","122.23","121.85","298.04K","0.22%"
"27/08/2025","121.86","121.86","122.10","121.48","388.50K","-0.06%"
"26/08/2025","121.93","121.76","122.01","121.54","343.16K","0.01%"
"25/08/2025","121.92","122.53","122.55","121.72","272.67K","-0.62%"
"22/08/2025","122.68","122.25","122.72","122.05","162.03K","0.37%"
"21/08/2025","122.23","122.59","122.78","122.15","262.99K","-0.35%"
"20/08/2025","122.66","122.31","122.75","122.18","179.51K","0.15%"
"19/08/2025","122.48","122.41","122.51","122.14","188.66K","0.20%"
"18/08/2025","122.23","122.17","122.63","122.15","230.49K","-0.01%"
"15/08/2025","122.24","123.13","123.21","122.07","192.05K","-0.71%"
"14/08/2025","123.12","123.42","123.71","123.02","153.00K","-0.25%"
"13/08/2025","123.43","122.74","123.46","122.67","144.02K","0.61%"
"12/08/2025","122.68","123.16","123.27","122.52","212.48K","-0.40%"
"11/08/2025","123.17","123.30","123.60","123.11","142.92K","-0.09%"
"08/08/2025","123.28","123.72","123.75","123.13","132.54K","-0.36%"
"07/08/2025","123.72","123.53","123.90","123.40","316.62K","0.04%"
"06/08/2025","123.67","123.84","123.91","123.29","190.36K","-0.17%"
"05/08/2025","123.88","123.93","124.14","123.60","155.63K","0.06%"
"04/08/2025","123.81","123.49","123.93","122.97","177.55K","0.44%"
"01/08/2025","123.27","123.05","123.65","122.64","252.02K","-0.02%"
"31/07/2025","123.29","123.08","123.44","123.06","224.22K","0.11%"
"30/07/2025","123.15","123.26","123.40","122.96","165.83K","-0.06%"
"29/07/2025","123.23","123.16","123.37","122.95","167.47K","-0.02%"
"28/07/2025","123.26","122.73","123.36","122.62","181.15K","0.38%"
"25/07/2025","122.79","122.96","122.99","122.28","186.05K","-0.20%"
"24/07/2025","123.03","123.58","123.58","122.81","210.18K","-0.81%"
"23/07/2025","124.03","124.01","124.07","123.37","179.50K","-0.06%"
"22/07/2025","124.10","123.66","124.13","123.49","177.02K","0.26%"
"21/07/2025","123.78","122.85","123.81","122.84","186.66K","0.91%"
"18/07/2025","122.66","122.80","122.91","122.62","164.81K","-0.21%"
"17/07/2025","122.92","122.90","123.00","122.52","235.38K","0.11%"
"16/07/2025","122.78","122.65","122.95","122.43","205.35K","0.11%"
"15/07/2025","122.64","122.43","123.05","122.32","211.33K","0.26%"
"14/07/2025","122.32","122.46","122.57","122.24","162.37K","-0.12%"
"11/07/2025","122.47","122.78","122.95","122.42","206.95K","-0.19%"
"10/07/2025","122.70","123.24","123.28","122.62","186.65K","-0.28%"
"09/07/2025","123.05","122.99","123.23","122.91","174.30K","0.02%"
"08/07/2025","123.02","123.32","123.41","122.74","230.40K","-0.32%"
"07/07/2025","123.42","123.90","123.98","123.32","179.87K","-0.36%"
"04/07/2025","123.86","123.76","124.15","123.76","159.03K","0.04%"
"03/07/2025","123.81","123.34","123.85","123.30","373.41K","0.33%"
"02/07/2025","123.40","124.19","124.20","123.20","303.56K","-0.57%"
"01/07/2025","124.11","123.82","124.39","123.82","226.99K","0.22%"
"30/06/2025","123.84","123.87","124.11","123.67","216.98K","0.05%"
"27/06/2025","123.78","124.13","124.24","123.62","187.79K","-0.22%"
"26/06/2025","124.05","124.01","124.30","123.96","194.14K","0.11%"
"25/06/2025","123.91","124.07","124.57","123.74","266.38K","-0.19%"
"24/06/2025","124.14","124.10","124.50","123.66","315.25K","-0.07%"
"23/06/2025","124.23","123.87","124.31","123.48","232.66K","0.20%"
"20/06/2025","123.98","123.84","124.24","123.77","225.11K","0.08%"
"19/06/2025","123.88","124.19","124.28","123.74","259.94K","-0.37%"
"18/06/2025","124.34","124.05","124.43","123.80","177.63K","0.25%"
"17/06/2025","124.03","124.04","124.39","123.77","239.76K","-0.13%"
"16/06/2025","124.19","123.92","124.34","123.45","211.85K","0.17%"
"13/06/2025","123.98","124.79","125.02","123.83","248.28K","-0.56%"
"12/06/2025","124.68","124.21","124.75","124.20","240.61K","0.28%"
"11/06/2025","124.33","124.47","124.54","124.08","234.53K","-0.07%"
"10/06/2025","124.42","124.13","124.56","124.04","214.19K","0.35%"
"09/06/2025","123.98","123.97","124.73","123.75","232.31K","-1.06%"
"06/06/2025","125.31","125.32","125.40","125.27","11.76K","0.38%"
"05/06/2025","124.84","125.59","125.93","124.80","52.21K","-0.53%"
"04/06/2025","125.50","125.77","125.84","125.40","286.98K","-0.21%"
"03/06/2025","125.77","125.71","125.99","125.52","486.26K","0.90%"
"02/06/2025","124.65","124.78","124.78","124.18","319.47K","-0.07%"
"30/05/2025","124.74","124.65","124.95","124.43","91.20K","0.05%"
"29/05/2025","124.68","124.15","124.73","123.78","15.98K","0.36%"
