"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2026","79.74","81.26","81.26","79.74","","-1.87%"
"06/03/2026","81.26","74.53","81.26","74.53","","9.03%"
"05/03/2026","74.53","70.03","74.53","70.03","","6.43%"
"04/03/2026","70.03","77.75","77.75","70.03","","-9.93%"
"03/03/2026","77.75","73.21","77.75","73.21","","6.20%"
"02/03/2026","73.21","73.38","73.38","73.21","","-0.23%"
"27/02/2026","73.38","63.93","73.38","63.93","","14.78%"
"26/02/2026","63.93","62.43","63.93","62.43","","2.40%"
"25/02/2026","62.43","65.27","65.27","62.43","","-4.35%"
"24/02/2026","65.27","68.03","68.03","65.27","","-4.06%"
"23/02/2026","68.03","64.27","68.03","64.27","","5.85%"
"20/02/2026","64.27","68.03","68.03","64.27","","-5.53%"
"19/02/2026","68.03","64.19","68.03","64.19","","5.98%"
"18/02/2026","64.19","68.84","68.84","64.19","","-6.75%"
"17/02/2026","68.84","70.10","70.10","68.84","","-1.80%"
"13/02/2026","70.10","68.57","70.10","68.57","","2.23%"
"12/02/2026","68.57","61.35","68.57","61.35","","11.77%"
"11/02/2026","61.35","64.55","64.55","61.35","","-4.96%"
"10/02/2026","64.55","62.74","64.55","62.74","","2.88%"
"09/02/2026","62.74","63.62","63.62","62.74","","-1.38%"
"06/02/2026","63.62","62.16","63.62","62.16","","2.35%"
"05/02/2026","62.16","57.51","62.16","57.51","","8.09%"
"04/02/2026","57.51","57.54","57.54","57.51","","-0.05%"
"03/02/2026","57.54","59.30","59.30","57.54","","-2.97%"
"02/02/2026","59.30","59.20","59.30","59.20","","0.17%"
"30/01/2026","59.20","60.73","60.73","59.20","","-2.52%"
"29/01/2026","60.73","57.43","60.73","57.43","","5.75%"
"28/01/2026","57.43","56.12","57.43","56.12","","2.33%"
"27/01/2026","56.12","55.77","56.12","55.77","","0.63%"
"26/01/2026","55.77","56.25","56.25","55.77","","-0.85%"
"23/01/2026","56.25","56.50","56.50","56.25","","-0.44%"
"22/01/2026","56.50","59.56","59.56","56.50","","-5.14%"
"21/01/2026","59.56","66.67","66.67","59.56","","-10.66%"
"20/01/2026","66.67","58.05","66.67","58.05","","14.85%"
"16/01/2026","58.05","58.05","58.05","58.05","","3.40%"
"15/01/2026","56.14","58.11","58.11","56.14","","-3.39%"
"14/01/2026","58.11","60.79","60.79","58.11","","-4.41%"
"13/01/2026","60.79","62.90","62.90","60.79","","-3.35%"
"12/01/2026","62.90","61.55","62.90","61.55","","2.19%"
"09/01/2026","61.55","66.94","66.94","61.55","","-8.05%"
"08/01/2026","66.94","66.15","66.94","66.15","","1.19%"
"07/01/2026","66.15","65.82","66.15","65.82","","0.50%"
"06/01/2026","65.82","64.71","65.82","64.71","","1.72%"
"05/01/2026","64.71","62.36","64.71","62.36","","3.77%"
"02/01/2026","62.36","63.96","63.96","62.36","","-2.50%"
"31/12/2025","63.96","63.98","63.98","63.96","","-0.03%"
"30/12/2025","63.98","59.21","63.98","59.21","","8.06%"
"29/12/2025","59.21","58.50","59.21","58.50","","1.21%"
"26/12/2025","58.50","59.48","59.48","58.50","","-1.65%"
"24/12/2025","59.48","61.17","61.17","59.48","","-2.76%"
"23/12/2025","61.17","61.70","61.70","61.17","","-0.86%"
"22/12/2025","61.70","59.41","61.70","59.41","","3.85%"
"19/12/2025","59.41","60.01","60.01","59.41","","-1.00%"
"18/12/2025","60.01","62.74","62.74","60.01","","-4.35%"
"17/12/2025","62.74","67.14","67.14","62.74","","-6.55%"
"16/12/2025","67.14","73.31","73.31","67.14","","-8.42%"
"15/12/2025","73.31","69.25","73.31","69.25","","5.86%"
"12/12/2025","69.25","69.24","69.25","69.24","","0.01%"
"11/12/2025","69.24","68.62","69.24","68.62","","0.90%"
"10/12/2025","68.62","75.38","75.38","68.62","","-8.97%"
"09/12/2025","75.38","72.30","75.38","72.30","","4.26%"
"08/12/2025","72.30","67.28","72.30","67.28","","7.46%"
"05/12/2025","67.28","65.69","67.28","65.69","","2.42%"
"04/12/2025","65.69","66.46","66.46","65.69","","-1.16%"
"03/12/2025","66.46","69.91","69.91","66.46","","-4.93%"
"02/12/2025","69.91","71.35","71.35","69.91","","-2.02%"
"01/12/2025","71.35","68.95","71.35","68.95","","3.48%"
"28/11/2025","68.95","71.90","71.90","68.95","","-4.10%"
"26/11/2025","71.90","72.82","72.82","71.90","","-1.26%"
