"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2026","119.80","119.00","120.01","119.00","647.97K","0.91%"
"09/03/2026","118.72","117.62","118.97","117.42","730.20K","-1.04%"
"06/03/2026","119.97","120.24","120.38","119.89","7.14K","-0.31%"
"05/03/2026","120.34","121.15","121.52","120.20","59.27K","-0.97%"
"04/03/2026","121.52","120.79","121.60","120.54","603.01K","0.52%"
"03/03/2026","120.89","121.84","121.90","120.70","1.08M","-1.08%"
"02/03/2026","122.21","122.81","122.87","122.06","656.60K","0.23%"
"27/02/2026","121.93","121.96","122.04","121.65","274.00K","0.18%"
"26/02/2026","121.71","121.70","121.80","121.60","39.26K","0.03%"
"25/02/2026","121.67","121.61","121.69","121.54","6.26K","0.06%"
"24/02/2026","121.60","121.62","121.66","121.51","2.85K","0.04%"
"23/02/2026","121.55","121.44","121.60","121.30","0.73K","-0.61%"
"20/02/2026","122.29","122.25","122.32","122.15","236.38K","0.11%"
"19/02/2026","122.16","122.11","122.21","122.02","248.29K","-0.08%"
"18/02/2026","122.26","122.14","122.27","122.07","272.93K","0.07%"
"17/02/2026","122.18","122.17","122.26","122.10","271.37K","0.10%"
"16/02/2026","122.06","122.04","122.24","121.95","237.93K","-0.05%"
"13/02/2026","122.12","121.95","122.14","121.85","300.50K","0.24%"
"12/02/2026","121.83","121.71","121.91","121.61","284.63K","0.13%"
"11/02/2026","121.67","121.67","121.75","121.41","279.09K","0.02%"
"10/02/2026","121.65","121.38","121.67","121.34","332.46K","0.31%"
"09/02/2026","121.28","121.11","121.30","120.98","265.20K","0.15%"
"06/02/2026","121.10","121.16","121.30","121.06","278.32K","0.05%"
"05/02/2026","121.04","120.93","121.10","120.77","357.69K","0.03%"
"04/02/2026","121.00","120.83","121.11","120.80","263.42K","0.17%"
"03/02/2026","120.80","120.99","120.99","120.68","460.61K","-0.12%"
"02/02/2026","120.95","121.18","121.22","120.85","356.58K","-0.13%"
"30/01/2026","121.11","121.15","121.24","121.00","298.69K","-0.15%"
"29/01/2026","121.29","121.08","121.31","121.05","403.97K","0.14%"
"28/01/2026","121.12","121.13","121.29","121.04","306.60K","0.04%"
"27/01/2026","121.07","121.01","121.14","120.83","351.32K","-0.02%"
"26/01/2026","121.10","120.78","121.13","120.72","293.28K","0.31%"
"23/01/2026","120.72","120.62","120.84","120.54","345.64K","0.05%"
"22/01/2026","120.66","120.55","120.83","120.52","380.86K","0.11%"
"21/01/2026","120.53","120.75","120.96","120.38","391.97K","-0.12%"
"20/01/2026","120.68","120.85","120.85","120.36","437.66K","-0.31%"
"19/01/2026","121.06","121.16","121.24","120.92","288.42K","0.07%"
"16/01/2026","120.97","121.15","121.19","120.89","241.55K","-0.16%"
"15/01/2026","121.16","121.06","121.21","120.94","288.26K","0.12%"
"14/01/2026","121.01","120.90","121.12","120.78","283.84K","0.15%"
"13/01/2026","120.83","120.89","120.89","120.67","302.85K","-0.12%"
"12/01/2026","120.98","120.61","121.02","120.56","314.07K","0.22%"
"09/01/2026","120.71","120.65","120.81","120.52","334.69K","0.17%"
"08/01/2026","120.50","120.59","120.69","120.23","471.83K","-0.02%"
"07/01/2026","120.52","120.51","120.83","120.43","338.06K","0.17%"
"06/01/2026","120.31","119.81","120.47","119.72","293.96K","0.23%"
"05/01/2026","120.03","119.69","120.07","119.61","298.95K","0.35%"
"02/01/2026","119.61","119.84","119.98","119.59","238.84K","-0.47%"
"30/12/2025","120.18","120.45","120.50","120.11","154.25K","-0.30%"
"29/12/2025","120.54","120.09","120.59","120.07","159.41K","0.41%"
"23/12/2025","120.05","119.82","120.11","119.81","176.07K","0.44%"
"22/12/2025","119.53","119.55","119.90","119.45","149.42K","-0.26%"
"19/12/2025","119.84","119.94","120.17","119.72","221.86K","-0.30%"
"18/12/2025","120.20","119.98","120.22","119.71","282.55K","0.29%"
"17/12/2025","119.85","120.17","120.34","119.81","237.58K","-0.19%"
"16/12/2025","120.08","119.90","120.16","119.85","243.19K","0.13%"
"15/12/2025","119.93","119.80","120.04","119.80","201.92K","0.24%"
"12/12/2025","119.64","119.78","119.92","119.54","232.87K","-0.18%"
"11/12/2025","119.86","119.80","119.93","119.49","326.22K","0.26%"
"10/12/2025","119.55","119.62","119.67","119.13","357.55K","-0.06%"
"09/12/2025","119.62","119.50","119.75","119.34","335.98K","-0.47%"
"08/12/2025","120.19","120.81","120.81","120.18","7.87K","-0.33%"
"05/12/2025","120.59","120.73","120.82","120.50","33.86K","-0.07%"
"04/12/2025","120.68","120.90","120.93","120.58","263.83K","-0.20%"
"03/12/2025","120.92","120.82","121.06","120.76","435.36K","0.18%"
"02/12/2025","120.70","120.82","120.85","120.60","662.23K","0.17%"
"01/12/2025","120.49","121.06","121.06","120.44","155.09K","-0.73%"
"28/11/2025","121.37","121.37","121.47","121.24","257.02K","-0.02%"
"27/11/2025","121.40","121.45","121.51","121.26","272.47K","-0.02%"
"26/11/2025","121.43","121.37","121.56","121.20","353.63K","0.04%"
"25/11/2025","121.38","121.01","121.46","120.87","320.34K","0.35%"
"24/11/2025","120.96","120.90","121.08","120.83","273.84K","0.11%"
"21/11/2025","120.83","120.69","121.07","120.64","303.67K","0.04%"
"20/11/2025","120.78","120.71","120.91","120.48","405.60K","-0.02%"
"19/11/2025","120.81","120.85","121.13","120.75","370.15K","0.04%"
"18/11/2025","120.76","120.98","121.01","120.72","322.29K","-0.09%"
"17/11/2025","120.87","120.67","121.02","120.67","277.84K","0.07%"
"14/11/2025","120.78","121.06","121.08","120.53","402.77K","-0.32%"
"13/11/2025","121.17","121.54","121.70","121.11","407.70K","-0.31%"
"12/11/2025","121.55","121.26","121.62","121.12","317.69K","0.17%"
"11/11/2025","121.34","121.14","121.36","121.12","257.10K","0.07%"
"10/11/2025","121.26","121.00","121.30","120.86","220.92K","0.20%"
"07/11/2025","121.02","121.01","121.18","120.92","244.55K","-0.12%"
"06/11/2025","121.17","121.03","121.26","121.03","269.07K","0.04%"
"05/11/2025","121.12","121.34","121.44","121.03","258.37K","-0.19%"
"04/11/2025","121.35","121.39","121.43","121.23","260.53K","0.05%"
"03/11/2025","121.29","121.46","121.54","121.19","288.92K","-0.12%"
"31/10/2025","121.43","121.38","121.53","121.20","352.19K","0.07%"
"30/10/2025","121.34","121.21","121.41","121.08","390.46K","-0.09%"
"29/10/2025","121.45","121.35","121.51","121.31","276.44K","0.08%"
"28/10/2025","121.35","121.40","121.45","121.26","275.83K","-0.01%"
"27/10/2025","121.36","121.12","121.42","121.04","239.16K","0.17%"
"24/10/2025","121.16","121.60","121.67","121.12","298.77K","-0.35%"
"23/10/2025","121.58","121.77","121.79","121.51","204.91K","-0.15%"
"22/10/2025","121.76","121.78","121.94","121.67","266.16K","-0.03%"
"21/10/2025","121.80","121.63","121.85","121.54","269.37K","0.19%"
"20/10/2025","121.57","121.46","121.63","121.35","220.83K","0.09%"
"17/10/2025","121.46","121.91","121.94","121.41","349.24K","-0.14%"
"16/10/2025","121.63","121.45","121.81","121.35","340.10K","0.05%"
"15/10/2025","121.57","121.28","121.64","121.22","319.04K","0.40%"
"14/10/2025","121.09","120.87","121.24","120.85","441.16K","0.30%"
"13/10/2025","120.73","120.51","120.79","120.43","279.97K","0.10%"
"10/10/2025","120.61","120.20","120.64","120.13","310.69K","0.44%"
"09/10/2025","120.08","120.31","120.43","120.01","259.00K","-0.21%"
"08/10/2025","120.33","119.85","120.43","119.83","337.74K","0.46%"
"07/10/2025","119.78","119.72","119.85","119.48","311.73K","-0.01%"
"06/10/2025","119.79","119.70","119.84","119.57","338.47K","-0.15%"
"03/10/2025","119.97","119.98","120.08","119.91","221.41K","0.06%"
"02/10/2025","119.90","119.88","120.07","119.69","260.96K","-0.03%"
"01/10/2025","119.93","119.78","120.10","119.48","315.94K","0.08%"
"30/09/2025","119.84","119.83","119.99","119.65","284.42K","0.04%"
"29/09/2025","119.79","119.50","119.87","119.49","214.34K","0.28%"
"26/09/2025","119.46","119.18","119.63","119.10","342.99K","0.20%"
"25/09/2025","119.22","119.60","119.61","119.07","361.94K","-0.25%"
"24/09/2025","119.52","119.74","119.82","119.48","313.72K","-0.13%"
"23/09/2025","119.67","119.80","119.93","119.62","228.74K","-0.11%"
