"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2026","91.32","91.10","91.53","90.67","","0.83%"
"09/03/2026","90.57","90.57","90.57","90.57","","0.52%"
"06/03/2026","90.10","91.18","91.18","90.55","0.03K","-1.39%"
"05/03/2026","91.37","91.75","92.00","91.32","0.02K","-1.03%"
"04/03/2026","92.32","91.95","91.95","91.67","0.16K","0.82%"
"03/03/2026","91.57","92.58","92.58","91.27","2.95K","-1.66%"
"02/03/2026","93.12","93.66","93.66","92.98","1.78K","-0.72%"
"27/02/2026","93.80","93.25","93.78","93.18","1.11K","0.57%"
"26/02/2026","93.27","92.87","93.35","92.82","12.86K","0.43%"
"25/02/2026","92.87","92.88","92.94","92.68","121.53K","-0.09%"
"24/02/2026","92.95","92.86","93.12","92.78","640.33K","0.08%"
"23/02/2026","92.88","92.57","92.91","92.40","951.19K","0.45%"
"20/02/2026","92.46","92.40","92.59","92.25","500.92K","0.27%"
"19/02/2026","92.21","92.06","92.24","91.91","445.96K","0.00%"
"18/02/2026","92.21","92.04","92.32","92.03","224.08K","0.00%"
"17/02/2026","92.21","92.30","92.36","92.07","203.94K","0.32%"
"16/02/2026","91.92","91.84","92.05","91.67","211.24K","0.08%"
"13/02/2026","91.85","91.50","91.88","91.30","232.47K","0.47%"
"12/02/2026","91.42","91.21","91.49","91.03","218.22K","0.43%"
"11/02/2026","91.03","90.84","91.15","90.62","232.47K","0.17%"
"10/02/2026","90.88","90.74","91.00","90.66","289.82K","0.41%"
"09/02/2026","90.51","90.23","90.61","89.76","425.34K","-0.15%"
"06/02/2026","90.65","90.51","90.79","90.30","244.96K","0.23%"
"05/02/2026","90.44","90.30","90.81","89.88","504.75K","-0.23%"
"04/02/2026","90.65","90.97","91.06","90.47","294.17K","-0.31%"
"03/02/2026","90.93","90.87","91.00","90.75","236.15K","-0.07%"
"02/02/2026","90.99","90.83","91.21","90.75","228.87K","0.15%"
"30/01/2026","90.85","90.80","91.09","90.59","245.65K","-0.23%"
"29/01/2026","91.06","90.63","91.24","90.48","313.17K","0.32%"
"28/01/2026","90.77","91.11","91.11","90.69","277.30K","-0.26%"
