"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2026","112.45","112.48","112.77","112.27","2.43M","0.08%"
"09/03/2026","112.36","112.19","112.67","111.83","2.91M","-0.07%"
"06/03/2026","112.44","112.36","112.66","112.05","3.82M","0.11%"
"05/03/2026","112.31","112.70","112.75","112.30","3.13M","-0.44%"
"04/03/2026","112.81","113.00","113.09","112.67","2.36M","-0.18%"
"03/03/2026","113.02","113.17","113.23","112.52","3.85M","-0.06%"
"02/03/2026","113.08","114.17","114.19","112.94","3.43M","-0.69%"
"27/02/2026","113.86","113.50","113.95","113.50","76.69K","0.39%"
"26/02/2026","113.42","113.14","113.52","113.13","453.49K","0.22%"
"25/02/2026","113.17","113.30","113.33","113.09","1.83M","-0.11%"
"24/02/2026","113.30","113.33","113.41","113.19","4.69M","-0.07%"
"23/02/2026","113.38","112.92","113.44","112.86","5.73M","0.39%"
"20/02/2026","112.94","113.00","113.11","112.73","4.21M","-0.03%"
"19/02/2026","112.97","112.92","113.05","112.77","2.08M","0.01%"
"18/02/2026","112.95","113.09","113.17","112.88","1.88M","-0.15%"
"17/02/2026","113.13","113.20","113.44","113.06","2.91M","-0.08%"
"16/02/2026","113.22","113.22","113.38","113.09","501.94K","0.04%"
"13/02/2026","113.17","112.81","113.23","112.66","3.46M","0.33%"
"12/02/2026","112.80","112.27","112.86","112.23","2.49M","0.46%"
"11/02/2026","112.28","112.50","112.63","112.00","3.13M","-0.21%"
"10/02/2026","112.52","112.16","112.59","112.16","2.45M","0.29%"
"09/02/2026","112.19","111.98","112.22","111.81","1.81M","0.07%"
"06/02/2026","112.11","112.31","112.52","112.00","2.26M","-0.01%"
"05/02/2026","112.13","111.61","112.33","111.58","3.24M","0.46%"
"04/02/2026","111.61","111.63","111.73","111.48","2.01M","0.01%"
"03/02/2026","111.59","111.56","111.67","111.42","1.88M","0.00%"
"02/02/2026","111.59","111.80","112.06","111.52","2.53M","-0.21%"
"30/01/2026","111.83","111.78","111.88","111.55","3.10M","-0.03%"
"29/01/2026","111.86","111.70","111.89","111.52","2.30M","0.20%"
"28/01/2026","111.64","111.69","111.83","111.48","1.65M","-0.14%"
"27/01/2026","111.80","111.80","111.91","111.66","1.64M","-0.03%"
"26/01/2026","111.83","111.83","111.94","111.70","1.50M","0.14%"
"23/01/2026","111.67","111.63","111.77","111.50","1.80M","0.07%"
"22/01/2026","111.59","111.69","111.77","111.44","1.83M","-0.06%"
"21/01/2026","111.66","111.39","111.70","111.39","2.40M","0.21%"
"20/01/2026","111.42","111.95","111.98","111.28","3.41M","-0.19%"
"19/01/2026","111.63","111.63","111.88","111.59","608.95K","-0.11%"
"16/01/2026","111.75","112.16","112.23","111.73","2.60M","-0.42%"
"15/01/2026","112.22","112.53","112.55","112.13","1.94M","-0.22%"
"14/01/2026","112.47","112.20","112.56","112.17","1.90M","0.18%"
"13/01/2026","112.27","112.20","112.44","112.05","2.20M","0.11%"
